title	requisitions
Software Development Engineer III, Amazon Timestream	2
Software Development Engineer, (Level 5)	2
Software Development Engineer, AI Data Infrastructure	2
Software Development Engineer, ASP Core Enablement Shared Services (ESS)	2
Software Development Engineer, AWS - Amazon EKS	2
Software Development Engineer, AWS AI Agentic Automated Reasoning (AR)	2
Software Development Engineer, AWS Agentic AI	2
Software Development Engineer, AWS CloudWatch OpenTelemetry	2
Software Development Engineer, AWS Cognito	2
Software Development Engineer, AWS Config	2
Software Development Engineer, AWS EC2 Nitro Team	2
Software Development Engineer, AWS IAM Identity Center	2
Software Development Engineer, AWS Marketplace	2
Software Development Engineer, AWS Networks	2
Software Development Engineer, AWS Transform	2
Software Development Engineer, Ads AI Core Infra (ACI)	2
Software Development Engineer, Agentic Workspaces - Watchtower	2
Software Development Engineer, Alexa Customers & Technology	2
Software Development Engineer, Amazon Aurora DSQL	2
Software Development Engineer, Amazon Catalog services team, Amazon Catalog services team	2
Software Development Engineer, Amazon Fulfilment Tech	2
Software Development Engineer, Amazon Leo	2
Software Development Engineer, Amazon MSK	2
Software Development Engineer, Amazon Optics	2
Software Development Engineer, Amazon Prime	2
Software Development Engineer, Amazon Private Brands, Automated Product Planning and Governance	2
Software Development Engineer, Amazon Robotics	2
Software Development Engineer, Amazon Shopping	2
Software Development Engineer, Amazon WorkSpaces	2
Software Development Engineer, Aurora DSQL	2
Software Development Engineer, Creator Marketplace	2
Software Development Engineer, Data Center Builder Tools	2
Software Development Engineer, DevX LIFT	2
Software Development Engineer, Developer Agents and Experiences, Production Engineering	2
Software Development Engineer, Devices Software & Services	2
Software Development Engineer, DynamoDB Storage	2
Software Development Engineer, EC2 Nitro, EC2 Local Instance Store	2
Software Development Engineer, EC2 UltraServer Delivery Team	2
Software Development Engineer, Early Career	2
Software Development Engineer, ElastiCache	2
Software Development Engineer, Eva Development Team	2
Software Development Engineer, IAM Stores Security	2
Software Development Engineer, Identity Services	2
Software Development Engineer, International Emerging Stores Sub-same Day	2
Software Development Engineer, Inventory Authority Platform (IAP)	2
Software Development Engineer, Last Mile Delivery Automation, Autonomous Vehicle	2
Software Development Engineer, Leo Manufacturing Software Systems	2
Software Development Engineer, Loss Prevention Tech, WWOS Corporate	2
Software Development Engineer, Measurement, Ad Tech, and Data Science (MADS)	2
Software Development Engineer, Nitro SSD	2
Software Development Engineer, Open Data Analytics Fundamentals Team	2
Software Development Engineer, PXT Case Management System	2
Software Development Engineer, Payroll Tax & Accounting Tech	2
Software Development Engineer, Production and Post Production Technology, Amazon MGM Studios	2
Software Development Engineer, RDS Platform	2
Software Development Engineer, Ring AI (Edge AI), RBKS AI	2
Software Development Engineer, Ring Cloud Computer Vision	2
Software Development Engineer, Ring Taipei Software team	2
Software Development Engineer, S3	2
Software Development Engineer, S3 Glacier	2
Software Development Engineer, US Amazon Dedicated Cloud Security	2
Software Development Engineer, Vendor Experience	2
Software Development Engineer, iOS	2
Software Development Manager - Embedded SW (Hands On), ENA	2
Software Development Manager, ASBX	2
Software Development Manager, AWS Billing Data, Billing Data Services	2
Software Development Manager, AWS DynamoDB Global Tables	2
Software Development Manager, Amazon Optics, Amazon Optics	2
Software Development Manager, Amazon Rufus	2
Software Development Manager, Amazon S3	2
Software Development Manager, Amazon Software Builder Experience (ASBX)	2
Software Development Manager, Aurora Control Plane, Aurora Control Plane	2
Software Development Manager, Leo Security	2
Software Development Manager, Managed Operations (MO)	2
Software Development Manager, Ship With Amazon	2
Software Engineer II, Analytics Amazon Dedicated Cloud (ADC)	2
Software Engineer II, Athena Engine Front End	2
Software Engineer II, Prime Air	2
Software Engineer, Internet Edge Services	2
Software Engineering Manager, AWS CloudFormation	2
Software Engineering Manager, Internet Edge Services	2
Sr Embedded SDE III, Hardware Engineering Services	2
Sr Manager, Software Dev, Elastic Container Service	2
Sr SDE - AFX, AFX	2
Sr Software Engineer - BIOS, AWS Hardware Engineering, Firmware Development	2
Sr. Builder - Mobile (Platform), Ring	2
Sr. Builder - Mobile (Sr. SDE), Ring	2
Sr. SDE - CPLD / FPGA	2
Sr. SDE, MLA hardware/software co-design, Annapurna Labs Machine Learning Acceleration	2
Sr. Software Dev Engineer, Amazon Leo Customer Terminals	2
Sr. Software Dev Engineer, Leo Ground Control Services	2
Sr. Software Development Engineer - AWS Networking Application, SIDR	2
Sr. Software Development Engineer, AWS Commerce Platform	2
Sr. Software Development Engineer, Agentic AI	2
Sr. Software Development Engineer, Amazon Shopping (Rufus)	2
Sr. Software Development Manager, Relational Database Services	2
Sr. TPM, Verification Services	2
System Development Engineer , CoSS	2
System Development Engineer, STRADA	2
Systems Development Engineer II, AWS Cross Domain Services (CDS)	2
Systems Development Engineer, S3	2
Technical Leader Physical Design	2
Technical Program Manager, Amazon Freight	2
Wireless Embedded Software Developer, KMM, Amazon Leo	2
2026 Software Dev Engineer Intern - Germany	1
2026 Software Dev Engineer Intern - Spain	1
2026 Software Dev Engineer Intern - UK	1
2027 Software Dev Engineer Intern	1
AI Builder, Ring	1
AI Hardware Systems Engineer, Annapurna Labs, Trainium Machine Learning Fleet Operations	1
AI Hardware Systems Manager, Annapurna Labs, Trainium Machine Learning Fleet Operations	1
AI SoC Modeling Engineer, Annapurna Labs Machine Learning Accelerators, AWS	1
AI/ML Engineer, Hiring Intelligence, Science & Experimentation (HIRISE)	1
ASIC Test Engineer, Annapurna Silicon Operations	1
Amazon Fulfilment Tech - Software Development Engineer, AFT Inventory	1
Amazon Leo Network Development Engineer, Leo Enterprise Network Infrastructure	1
Application Builder, Blink Subs + ai	1
Application Builder, Device Software Product Builders	1
Application Builder, Mobile Applications	1
Application Builder, Mobile Applications, Ring Neighbors	1
Application Builder, Ring	1
Application Builder, Ring.com Team	1
Applied GenAI Engineer, Amazon Logistics	1
Applied Scientist II, Personalization	1
Applied Scientist, Core Search	1
Applied Scientist, Machine Learning Accelerator - Annapurna Labs	1
Associate Delivery Consultant - AIML, Professional Services A2C Delivery	1
Associate Engagement Manager, Professional Services A2C Delivery	1
Atlassian Admin Engineer, Amazon Leo	1
BIM Operation Lead, GREF Workplace Guideline	1
Builder -SDE II Mobile (General feature Dev), Ring	1
C/C++ Hardware / Software Co-Design SDE, Machine Learning Acceleration Systems	1
CPLD/FPGA Firmware Engineer, Annapurna Labs, ML Accelerator Systems Firmware	1
CPU Verification Engineer, Verification Team	1
Chip Design Engineer, Graviton Chip Design Team	1
Chip Design Integration Lead, Nitro Chip Design Team	1
Chip Validation Software Engineer	1
DCEO Chief Engineer, Data Center Engineering Operations	1
DFT Design Engineer, Machine Learning Acceleration	1
Data Engineer I, Sales Data Services (SDS)	1
Data Engineer II , JWO Data Services	1
Data Engineer II, Compliance Shared Services, RISC	1
Data Engineer II, DASH Device Operations	1
Data Engineer II, ISS Central Science and Analytics	1
Data Engineer II, International Seller Growth	1
Data Engineer, Amazon Traffic Engineering	1
Data Engineer, WW Returns & ReComm Tech& Inn	1
Data Scientist, Automated Vehicle Testing	1
Database Engineer, AWS DMS	1
Database Engineer, Amazon Redshift	1
Delivery Consultant - Application Modernization, AWS Professional Services	1
Delivery Consultant: Agentic AI FullStack SDE, AWS Professional Services	1
Delivery Consultant: Full Stack Engineer, AWS Professional Services	1
Desenvolvedor de Software II, IES LATECH & GIS	1
Desenvolvedor de Software II, INTech Latam	1
Desenvolvedor de Software, IES Latech Latam	1
Desenvolvedora de Software (Vaga afirmativa prioritária para mulheres), IES LATECH & GIS	1
Design Technologist, Robot Animation , Fauna	1
Design Verification Team Leader, Nitro Team	1
DevOps Engineer, Veeqo	1
Device Software Engineer, Amazon Leo Government	1
Director AWS, OpenSearch	1
Director Engineering, Associate Experience, Amazon Customer Service	1
Director IAM, Amazon Foundational Security Services	1
Director of Engineering for Open Data Analytics Engines, Data Processing & Experience	1
Director of Software Development	1
Director of Software Development India, Alexa Ambient Computing Technologies	1
Director of Software Development, Android	1
Director, Embedded Software Engineering, Amazon Leo	1
EFA Network Software Engineer I, Annapurna Labs	1
EMIR Engineer, Annapurna Labs - Cloud Scale Machine Learning	1
Electrical Engineering Graduate	1
Embedded Robotics SDE, Compass	1
Embedded SDE - Security, Silicon & Systems Group	1
Embedded SDE II, Hardware Engineering Services	1
Embedded SDE, Flight Software - Avionics Endpoint	1
Embedded SDE, Leo Payload	1
Embedded SW Engineer, Annapurna Labs	1
Embedded Senior Software Engineer, Project Leo Customer Terminals	1
Embedded Software Dev Engineer III, Amazon Leo for Government - Leo Modem Module Software Team	1
Embedded Software Dev Engineer, Amazon Leo CT SW Team	1
Embedded Software Dev Engineer, Amazon Leo Customer Terminal	1
Embedded Software Dev Engineer, Project Kuiper Customer Terminal Software	1
Embedded Software Dev Engineer, Ring Devices	1
Embedded Software Development Engineer - Sensor & Compute, Amazon Robotics	1
Embedded Software Development Engineer II (C/C++), EC2 Instance Networking	1
Embedded Software Development Engineer II (C/C++), EC2 Nitro Instance Networking	1
Embedded Software Development Engineer II, Amazon Robotics Embedded Safety Systems	1
Embedded Software Development Engineer, Ring	1
Embedded Software Engineer	1
Embedded Software Engineer , Annapurna Labs	1
Embedded Software Engineer - Networking drivers, ENA team	1
Embedded Software Engineer II, Autonomy Platform, Data and Tools	1
Embedded Software Engineer II, Ring	1
Embedded Software Engineer II, Ring, Ring	1
Embedded Software Engineer III, Ring, Ring	1
Embedded Software Engineer, Amazon Leo	1
Embedded Software Engineer, Amazon Leo OISL Star Tracker	1
Embedded Software Engineer, Annapurna Labs	1
Embedded Software Engineer, EC2 Nitro Networking , EC2 Nitro Networking	1
Embedded Software Engineer, EC2 VPC networking , EC2 VPC	1
Embedded Software Engineer, Graviton	1
Embedded Software Engineer, Leo Autopilot	1
Embedded Software Engineer, Leo MAC	1
Embedded Software Engineer, Leo MAC, Leo MAC	1
Embedded Software Engineer, Leo Payload Radio	1
Embedded Software Engineer, Leo Payload Software Systems	1
Embedded Software Engineer, Ring	1
Embedded Software Manager, Connectivity - Platform	1
Embedded and Firmware, Alexa Excellence	1
FTVx Voice Experience - SDE II, FTVX Team (Voice Experience)	1
Firmware Engineer, Amazon Robotics	1
Forward Deployed Engineer, FDE US Government	1
Forward Deployed Engineering Manager, AWS Forward Deployed Engineering	1
Front End Development Engineer, Automation Integration Technologies	1
Front End Eng II, AWS Infrastructure, ADS-DSE	1
Front End Engineer II, Life Sciences Applied AI	1
Front End Engineer, AWS Agentic AI Automated Reasoning (AR)	1
Front End Engineer, IAM Console Team	1
Front End Engineer, Workforce Solutions - Transformative Tech	1
Front-End Engineer II	1
