person	mad_ordinal	citation	publication_state	evidence_state	note
Trachette L. Jackson	3	Arciero, J. C.; Jackson, T. L.; Kirschner, D. E. A mathematical model of tumor-immune evasion and siRNA treatment. Discrete Contin. Dyn. Syst. Ser. B 4 (2004), 39–58.	published	discovery_only	
Trachette L. Jackson	4	Jackson, T. L. Intracellular accumulation and mechanism of action of doxorubicin in a spatio-temporal tumor model. J. Theor. Biol. 220 (2003), 201–213.	published	discovery_only	
Trachette L. Jackson	5	Jackson, T. L. Vascular tumor growth and treatment: consequences of polyclonality, competition, and dynamic vascular support. J. Math. Biol. 44 (2002), 201–226.	published	discovery_only	
Trachette L. Jackson	6	Lubkin, S. R.; Jackson, T. L. Multiphase mechanics of capsule formation in tumors. J. Biomech. Eng. 124 (2002), 237–243.	published	discovery_only	MAD item 16 is an earlier accepted-state duplicate of this work.
Trachette L. Jackson	7	Jackson, T. L.; Byrne, Helen M. A mechanical model of tumor encapsulation and transcapsular spread. Math. Biosci. 180 (2002), 307–328.	published	discovery_only	
Trachette L. Jackson	8	Buckmaster, J.; Hegab, A.; Jackson, T. L. More results on oscillating edge-flames. Phys. Fluids 12 (2000), 1592–1600.	published	discovery_only	
Trachette L. Jackson	9	Jackson, T. L.; Byrne, H. M. Mathematical model to study the effects of drug resistance and vasculature on the response of solid tumors to chemotherapy. Math. Biosci. 164 (2000), 17–38.	published	discovery_only	
Trachette L. Jackson	10	Jackson, T. L.; Senter, P. D.; Murray, J. D. Development and validation of a mathematical model to describe anti-cancer prodrug activation by antibody-enzyme conjugates. J. Theor. Med. 2 (2000), 93–111.	published	discovery_only	
Trachette L. Jackson	11	Lasseigne, D. G.; Joslin, R. D.; Jackson, T. L.; Criminale, W. O. The transient period for boundary layer disturbances. J. Fluid Mech. 381 (1999), 89–119.	published	discovery_only	
Trachette L. Jackson	12	Jackson, T. L.; Lubkin, S. R.; Siemers, N. O.; Kerr, D.; Senter, P. D.; Murray, J. D. Mathematical and experimental analysis of localization of anti-tumor antibody enzyme conjugates. Br. J. Cancer 80 (1999), 1747–1753.	published	discovery_only	MAD item 15 is a duplicate.
Trachette L. Jackson	13	Jackson, T. L.; Lubkin, S. R.; Murray, J. D. Theoretical analysis of conjugate localization in two-step cancer chemotherapy. J. Math. Biol. 39 (1999), 353–376.	published	discovery_only	MAD item 14 is a duplicate.
Katherine Okikiolu	1	Okikiolu, Kate. Critical metrics for the determinant of the Laplacian in odd dimensions. Ann. of Math. 153 (2001), 471–531.	published	abstract_read	
Katherine Okikiolu	2	Okikiolu, Kate. High frequency cut-offs, trace formulas and geometry. Contemp. Math. 237 (1999), 107–121.	published	discovery_only	
Katherine Okikiolu	3	Guillemin, Victor; Okikiolu, Kate. Spectral asymptotics of Toeplitz operators on Zoll manifolds. J. Funct. Anal. 146 (1997), 496–516.	published	discovery_only	
Katherine Okikiolu	4	Guillemin, Victor; Okikiolu, Kate. Subprincipal terms in Szegő estimates. Math. Res. Lett. 4 (1997), 173–179.	published	discovery_only	
Katherine Okikiolu	5	Guillemin, Victor; Okikiolu, Kate. Szegő theorems for Zoll operators. Math. Res. Lett. 3 (1996), 449–452.	published	discovery_only	
Katherine Okikiolu	6	Okikiolu, Kate. The multiplicative anomaly for determinants of elliptic operators. Duke Math. J. 79 (1995), 723–750.	published	discovery_only	
Katherine Okikiolu	7	Okikiolu, Kate. The Campbell-Hausdorff theorem for elliptic operators and a related trace formula. Duke Math. J. 79 (1995), 687–722.	published	discovery_only	
Katherine Okikiolu	8	Okikiolu, Kate. The analogue of the strong Szegő limit theorem on the 2- and 3-dimensional spheres. J. Amer. Math. Soc. 9 (1996), 345–372.	published	discovery_only	
Katherine Okikiolu	9	Okikiolu, Kate. Characterization of subsets of rectifiable curves in R^n. J. London Math. Soc. 46 (1992), 336–348.	published	discovery_only	
Edray Herber Goins	1	Goins, Edray. Icosahedral Q-Curve Extensions. Math. Res. Lett. 10 (2003), 205–217.	published	abstract_read	metadata and abstract independently checked
Edray Herber Goins	2	Goins, Edray; Togbé, Alain. Pythagorean quadruplets.	published_later	discovery_only	MAD gives no venue/year; current author bibliography records later publication, to reconcile separately
Edray Herber Goins	3	Goins, Edray. A ternary algebra with applications to binary quadratic forms. Contemp. Math. 284 (2001), 7–12.	published	discovery_only	
Edray Herber Goins	4	Goins, Edray. Artin's conjecture and elliptic curves. Contemp. Math. 275 (2001), 39–51.	published	discovery_only	
Edray Herber Goins	5	Currie, M. R.; Goins, E. H. The fractional parts of n/k. Contemp. Math. 275 (2001), 13–31.	published	discovery_only	
Edray Herber Goins		Heron Triangles via Elliptic Curves	to_appear_at_mad_snapshot	discovery_only	with Davin Maddox; later published, current bibliography check pending normalization
Edray Herber Goins		On the Modularity of Wildly Ramified Galois Representations	submitted_at_mad_snapshot	discovery_only	
Edray Herber Goins		Explicit Descent via 4-Isogeny on an Elliptic Curve	submitted_at_mad_snapshot	discovery_only	
Edray Herber Goins		Heron Triangles, Diophantine Problems and Elliptic Curves	submitted_at_mad_snapshot	discovery_only	with Garikai Campbell
Edray Herber Goins		Extending the Serre-Faltings Method for Q-Curves	in_preparation_at_mad_snapshot	discovery_only	
Wilfrid Gangbo	1	Cordero-Erausquin, Dario; Gangbo, Wilfrid; Houdré, Christian. Inequalities for generalized entropy and optimal transportation. Contemp. Math. 353 (2004), 73–94.	published	discovery_only	
Wilfrid Gangbo	2	Carlen, E. A.; Gangbo, W. Solution of a model Boltzmann equation via steepest descent in the 2-Wasserstein metric. Arch. Ration. Mech. Anal. 172 (2004), 21–64.	published	discovery_only	
Wilfrid Gangbo	3	Carlen, E. A.; Gangbo, W. Constrained steepest descent in the 2-Wasserstein metric. Ann. of Math. 157 (2003).	published	discovery_only	
Wilfrid Gangbo	4	Brenier, Yann; Gangbo, Wilfrid. L^p approximation of maps by diffeomorphisms. Calc. Var. PDE 16 (2003), 147–164.	published	discovery_only	
Wilfrid Gangbo	5	Cullen, M.; Gangbo, W. A variational approach for the 2-D semi-geostrophic shallow water equations. Arch. Ration. Mech. Anal. (2001).	published	discovery_only	
Wilfrid Gangbo	6	Gangbo, W.; Van der Putten, R. Uniqueness of equilibrium configurations in solid crystals. SIAM J. Math. Anal. (2000), 465–492.	published	discovery_only	
Wilfrid Gangbo	7	Gangbo, W.; McCann, R. Shape recognition via Wasserstein distance. Quart. Appl. Math. (2000), 705–737.	published	discovery_only	
Wilfrid Gangbo	8	Cardaliaguet, P.; Gangbo, W.; et al. Geometric restrictions for the existence of viscosity solutions. Ann. Inst. H. Poincaré (1999), 189–220.	published	discovery_only	
Wilfrid Gangbo	9	Gangbo, Wilfrid. The Monge mass transfer problem and its applications. Contemp. Math. 226 (1999), 79–104.	published	discovery_only	
Wilfrid Gangbo	10	Gangbo, Wilfrid; Święch, Andrzej. Optimal maps for the multidimensional Monge-Kantorovich problem. Comm. Pure Appl. Math. 51 (1998), 23–45.	published	discovery_only	
Wilfrid Gangbo	11	Gangbo, Wilfrid; McCann, Robert J. The geometry of optimal transportation. Acta Math. 177 (1996), 113–161.	published	fulltext_read	
Wilfrid Gangbo	12	Gangbo, Wilfrid; McCann, Robert J. Optimal maps in Monge's mass transport problem. C. R. Acad. Sci. Paris Sér. I Math. 321 (1995), 1653–1658.	published	discovery_only	
Wilfrid Gangbo	13	Fonseca, Irene; Gangbo, Wilfrid. Local invertibility of Sobolev functions. SIAM J. Math. Anal. 26 (1995), 280–304.	published	discovery_only	
Wilfrid Gangbo	14	Gangbo, Wilfrid. An elementary proof of the polar factorization of vector-valued functions. Arch. Rational Mech. Anal. 128 (1994), 381–399.	published	discovery_only	MAD item 15 duplicates item 14 and is omitted from this deduplicated cull.
Wilfrid Gangbo	16	Gangbo, Wilfrid. On the weak lower semicontinuity of energies with polyconvex integrands. J. Math. Pures Appl. 73 (1994), 455–469.	published	discovery_only	
Wilfrid Gangbo	17	Buttazzo, G.; Dacorogna, B.; Gangbo, W. On the envelopes of functions depending on singular values of matrices. Boll. Un. Mat. Ital. B 8 (1994), 17–35.	published	discovery_only	
Wilfrid Gangbo	18	Gangbo, Wilfrid. On the continuity of the polyconvex, quasiconvex and rank-one-convex envelopes with respect to growth condition. Proc. Roy. Soc. Edinburgh A 123 (1993), 707–729.	published	discovery_only	
Wilfrid Gangbo	19	Dacorogna, B.; Gangbo, W.; Subía, N. Sur une généralisation de l'inégalité de Wirtinger. Ann. Inst. H. Poincaré Anal. Non Linéaire 9 (1992), 29–50.	published	discovery_only	
Wilfrid Gangbo	20	Dacorogna, B.; Douchet, J.; Gangbo, W.; Rappaz, J. Some examples of rank one convex functions in dimension two. Proc. Roy. Soc. Edinburgh A 114 (1990), 135–150.	published	discovery_only	
Scott W. Williams	1	Williams, Scott W.; Zhou, Haoxuan. Order-like structure of monotonically normal spaces. Comment. Math. Univ. Carolin. 39 (1998), 207–217.	published	discovery_only	
Scott W. Williams	2	Pelant, Jan; Williams, Scott W. Examples of recurrence. Ann. New York Acad. Sci. 806 (1996), 316–332.	published	discovery_only	
Scott W. Williams	3	Williams, Scott W.; Zhou, Hao Xuan. Strong versions of normality. Lecture Notes in Pure and Appl. Math. 134 (1991), 379–389.	published	discovery_only	
Scott W. Williams	4	Roitman, Judith; Williams, Scott. The paracompactness of spaces related to uncountable box products. Topology Proc. 15 (1990), 135–141.	published	discovery_only	
Scott W. Williams	5	Williams, S. W. Special points arising from self-maps. R&E Res. Exp. Math. 16 (1988), 629–638.	published	discovery_only	
Scott W. Williams	6	Yang, Shou Lian; Williams, Scott W. On box products of small ordinal spaces. Kexue Tongbao (English Ed.) 33 (1988), 554–556.	published	discovery_only	
Scott W. Williams	7	Yang, Shou Lian; Williams, Scott W. On box products of small families of spaces of ordinal numbers. Kexue Tongbao (Chinese) 32 (1987), 1051–1053.	published	discovery_only	
Scott W. Williams	8	Yang, Shoulian; Williams, Scott W. On the countable box product of compact ordinals. Topology Proc. 12 (1987), 159–171.	published	discovery_only	
Scott W. Williams	9	Balcar, Bohuslav; Kalášek, Pavel; Williams, Scott W. On the multiple Birkhoff recurrence theorem in dynamics. Comment. Math. Univ. Carolin. 28 (1987), 607–612.	published	discovery_only	
Scott W. Williams	10	Friedler, L. M.; Martin, H. W.; Williams, S. W. Paracompact C-scattered spaces. Pacific J. Math. 129 (1987), 277–296.	published	discovery_only	
Scott W. Williams	11	Williams, Scott W. More realcompact spaces. Lecture Notes in Pure and Appl. Math. 95 (1985), 289–300.	published	discovery_only	
Scott W. Williams	12	Williams, Scott W. Paracompactness in box products. Rend. Circ. Mat. Palermo Suppl. 6 (1984), 313–328.	published	discovery_only	
Scott W. Williams	13	Williams, S. W. Orderable subspaces of compact F-spaces. Math. Centre Tracts 169 (1983), 91–105.	published	discovery_only	
Scott W. Williams	14	Williams, S. W. Coabsolutes of Čech-Stone remainders and orderable spaces. Sigma Ser. Pure Math. 3 (1983), 699–705.	published	discovery_only	
Scott W. Williams	15	van Mill, Jan; Williams, Scott W. A compact F-space not co-absolute with βN−N. Topology Appl. 15 (1983), 59–64.	published	discovery_only	
Scott W. Williams	16	Williams, Scott. Orderable subspaces of Čech-remainders. Topology Proc. 7 (1982), 301–327.	published	discovery_only	
Scott W. Williams	17	Williams, Scott W. Trees, Gleason spaces, and coabsolutes of βN−N. Trans. Amer. Math. Soc. 271 (1982), 83–100.	published	discovery_only	
Scott W. Williams	18	Gewand, Marlene E.; Williams, Scott W. Covering properties of linearly ordered topological spaces and their products. Math. Centre Tracts 142 (1981), 119–132.	published	discovery_only	
Scott W. Williams	19	Williams, Scott W. Coabsolutes with homeomorphic dense subspaces. Canad. J. Math. 33 (1981), 857–861.	published	discovery_only	
Scott W. Williams	20	Williams, Scott W. Spaces with dense orderable subspaces. Math. Centre Tracts 142 (1981), 27–49.	published	discovery_only	
Scott W. Williams	21	Williams, Scott W. Boxes of compact ordinals. Topology Proc. 2 (1978), 631–642.	published	discovery_only	
Scott W. Williams	22	Williams, Scott W. Is box^ω(ω+1) paracompact? Topology Proceedings 1 (1977), 141–146.	published	discovery_only	
Scott W. Williams	23	Williams, Scott W. Paracompactness and products. General Topology Appl. 6 (1976), 117–125.	published	abstract_read	
Scott W. Williams	24	Williams, Scott W. A technique for reducing certain covers on certain L.O.T.S. and their products. Lecture Notes in Math. 378 (1974), 586–590.	published	discovery_only	
Scott W. Williams	25	Fleischman, William; Williams, Scott. The G_delta-topology on compact spaces. Fund. Math. 83 (1974), 143–149.	published	discovery_only	
Scott W. Williams	26	Williams, Scott. Transfinite cardinal dimension and separability. Portugal. Math. 32 (1973), 139–145.	published	discovery_only	
Scott W. Williams	27	Williams, Scott W. The liberation of the Q-gap. Proc. University of Houston Point Set Topology Conference (1971), 179–186.	published	discovery_only	
Scott W. Williams	28	Williams, Scott W. Completeness for all. Proc. Washington State Univ. Conf. on General Topology (1970), 127–136.	published	discovery_only	
